text,label
My mind feels heavy and tired,1
I can't sleep properly because of stress,1
I can't sleep properly because of stress,1
I am feeling very stressed due to my workload,1
I am under constant pressure,1
I feel mentally strong and focused,0
I feel depressed and anxious,1
I can't sleep properly because of stress,1
I feel energetic and positive,0
I am confident and motivated,0
My mind feels heavy and tired,1
I am feeling happy and relaxed today,0
I feel mentally exhausted and stressed,1
There is too much pressure and I can't relax,1
I feel energetic and positive,0
I feel depressed and anxious,1
I can't sleep properly because of stress,1
I can't sleep properly because of stress,1
I feel depressed and anxious,1
I feel anxious and overwhelmed today,1
I feel mentally strong and focused,0
I am confident and motivated,0
There is too much pressure and I can't relax,1
I feel mentally strong and focused,0
Everything is going well and I feel calm,0
I am under constant pressure,1
I am feeling very stressed due to my workload,1
I am under constant pressure,1
I am worried about my exams and future,1
I am stress free and cheerful,0
Life feels balanced and good,0
I am under constant pressure,1
I can't sleep properly because of stress,1
Everything is going well and I feel calm,0
There is too much pressure and I can't relax,1
I am relaxed and enjoying my time,0
I feel mentally exhausted and stressed,1
My mind feels heavy and tired,1
Today was productive and satisfying,0
I can't sleep properly because of stress,1
I feel depressed and anxious,1
I am feeling very stressed due to my workload,1
I am feeling happy and relaxed today,0
I feel mentally strong and focused,0
My mind feels heavy and tired,1
My mind feels heavy and tired,1
I am confident and motivated,0
I feel energetic and positive,0
I feel depressed and anxious,1
Life feels balanced and good,0
I feel mentally strong and focused,0
My mind feels heavy and tired,1
Deadlines are stressing me out badly,1
Life feels balanced and good,0
There is too much pressure and I can't relax,1
I feel mentally exhausted and stressed,1
I am confident and motivated,0
I am worried about my exams and future,1
Everything is going well and I feel calm,0
I feel mentally strong and focused,0
I feel depressed and anxious,1
I am relaxed and enjoying my time,0
I feel mentally strong and focused,0
Deadlines are stressing me out badly,1
My mind feels heavy and tired,1
I feel mentally exhausted and stressed,1
There is too much pressure and I can't relax,1
Life feels balanced and good,0
I feel mentally exhausted and stressed,1
I am feeling very stressed due to my workload,1
I enjoyed my day and feel peaceful,0
Today was productive and satisfying,0
Deadlines are stressing me out badly,1
I am feeling happy and relaxed today,0
I am feeling very stressed due to my workload,1
I can't sleep properly because of stress,1
Life feels balanced and good,0
I am relaxed and enjoying my time,0
I feel mentally exhausted and stressed,1
I am worried about my exams and future,1
My mind feels heavy and tired,1
Today was productive and satisfying,0
I feel depressed and anxious,1
My mind feels heavy and tired,1
I feel depressed and anxious,1
I am feeling happy and relaxed today,0
I am relaxed and enjoying my time,0
I am worried about my exams and future,1
I feel energetic and positive,0
I am relaxed and enjoying my time,0
I am feeling happy and relaxed today,0
I am worried about my exams and future,1
I can't sleep properly because of stress,1
I feel energetic and positive,0
I feel anxious and overwhelmed today,1
I can't sleep properly because of stress,1
My mind feels heavy and tired,1
Life feels balanced and good,0
There is too much pressure and I can't relax,1
I am feeling very stressed due to my workload,1
I can't sleep properly because of stress,1
I am confident and motivated,0
I feel depressed and anxious,1
I feel depressed and anxious,1
I am worried about my exams and future,1
Life feels balanced and good,0
I enjoyed my day and feel peaceful,0
My mind feels heavy and tired,1
I enjoyed my day and feel peaceful,0
Today was productive and satisfying,0
I feel energetic and positive,0
My mind feels heavy and tired,1
Everything is going well and I feel calm,0
I am relaxed and enjoying my time,0
I feel depressed and anxious,1
Life feels balanced and good,0
I feel mentally exhausted and stressed,1
My mind feels heavy and tired,1
I am under constant pressure,1
I am under constant pressure,1
I feel depressed and anxious,1
I am feeling happy and relaxed today,0
I am under constant pressure,1
I am feeling very stressed due to my workload,1
My mind feels heavy and tired,1
I feel anxious and overwhelmed today,1
Everything is going well and I feel calm,0
Everything is going well and I feel calm,0
I am confident and motivated,0
My mind feels heavy and tired,1
Deadlines are stressing me out badly,1
I am relaxed and enjoying my time,0
I can't sleep properly because of stress,1
Today was productive and satisfying,0
I am confident and motivated,0
My mind feels heavy and tired,1
There is too much pressure and I can't relax,1
I feel energetic and positive,0
I feel mentally strong and focused,0
I feel mentally exhausted and stressed,1
I feel mentally exhausted and stressed,1
Life feels balanced and good,0
I enjoyed my day and feel peaceful,0
Today was productive and satisfying,0
I feel depressed and anxious,1
I am under constant pressure,1
I am worried about my exams and future,1
I am stress free and cheerful,0
There is too much pressure and I can't relax,1
I am confident and motivated,0
I feel energetic and positive,0
I am feeling very stressed due to my workload,1
My mind feels heavy and tired,1
I am feeling happy and relaxed today,0
I am confident and motivated,0
I can't sleep properly because of stress,1
I feel energetic and positive,0
I enjoyed my day and feel peaceful,0
I am worried about my exams and future,1
I am feeling very stressed due to my workload,1
Today was productive and satisfying,0
I feel mentally strong and focused,0
I am confident and motivated,0
I can't sleep properly because of stress,1
Life feels balanced and good,0
I am under constant pressure,1
I feel energetic and positive,0
I am stress free and cheerful,0
I enjoyed my day and feel peaceful,0
I feel mentally strong and focused,0
I am under constant pressure,1
Everything is going well and I feel calm,0
I can't sleep properly because of stress,1
I feel mentally exhausted and stressed,1
I feel anxious and overwhelmed today,1
I feel mentally strong and focused,0
Everything is going well and I feel calm,0
I feel anxious and overwhelmed today,1
I enjoyed my day and feel peaceful,0
There is too much pressure and I can't relax,1
My mind feels heavy and tired,1
Deadlines are stressing me out badly,1
There is too much pressure and I can't relax,1
I am feeling very stressed due to my workload,1
My mind feels heavy and tired,1
I feel mentally exhausted and stressed,1
I am confident and motivated,0
Everything is going well and I feel calm,0
Deadlines are stressing me out badly,1
Deadlines are stressing me out badly,1
I feel mentally strong and focused,0
My mind feels heavy and tired,1
I am worried about my exams and future,1
I feel mentally strong and focused,0
I feel depressed and anxious,1
I feel mentally strong and focused,0
I feel mentally exhausted and stressed,1
I feel anxious and overwhelmed today,1
I am feeling happy and relaxed today,0
Life feels balanced and good,0
I am feeling happy and relaxed today,0
I feel mentally strong and focused,0
I am feeling happy and relaxed today,0
I feel energetic and positive,0
I enjoyed my day and feel peaceful,0
I am feeling happy and relaxed today,0
Today was productive and satisfying,0
Today was productive and satisfying,0
I am under constant pressure,1
Deadlines are stressing me out badly,1
I feel depressed and anxious,1
I enjoyed my day and feel peaceful,0
I can't sleep properly because of stress,1
Life feels balanced and good,0
I am feeling very stressed due to my workload,1
Everything is going well and I feel calm,0
I am stress free and cheerful,0
I enjoyed my day and feel peaceful,0
Everything is going well and I feel calm,0
I am stress free and cheerful,0
I feel energetic and positive,0
I am feeling very stressed due to my workload,1
I feel mentally strong and focused,0
I feel mentally strong and focused,0
I can't sleep properly because of stress,1
I feel mentally strong and focused,0
Deadlines are stressing me out badly,1
I am confident and motivated,0
I feel mentally strong and focused,0
I can't sleep properly because of stress,1
I feel depressed and anxious,1
I am under constant pressure,1
I feel depressed and anxious,1
I am worried about my exams and future,1
There is too much pressure and I can't relax,1
I can't sleep properly because of stress,1
I am feeling happy and relaxed today,0
I feel depressed and anxious,1
I am relaxed and enjoying my time,0
Today was productive and satisfying,0
I am confident and motivated,0
My mind feels heavy and tired,1
I am worried about my exams and future,1
I am feeling happy and relaxed today,0
I am confident and motivated,0
There is too much pressure and I can't relax,1
I can't sleep properly because of stress,1
I feel anxious and overwhelmed today,1
I feel energetic and positive,0
I feel anxious and overwhelmed today,1
I enjoyed my day and feel peaceful,0
There is too much pressure and I can't relax,1
I feel energetic and positive,0
I am relaxed and enjoying my time,0
I can't sleep properly because of stress,1
I am relaxed and enjoying my time,0
I feel mentally strong and focused,0
I feel mentally strong and focused,0
I am worried about my exams and future,1
I feel mentally exhausted and stressed,1
Life feels balanced and good,0
I am feeling happy and relaxed today,0
I feel energetic and positive,0
I am feeling very stressed due to my workload,1
I am worried about my exams and future,1
I am worried about my exams and future,1
I feel mentally exhausted and stressed,1
Life feels balanced and good,0
I am worried about my exams and future,1
I am feeling happy and relaxed today,0
I feel mentally exhausted and stressed,1
I am feeling very stressed due to my workload,1
I feel mentally exhausted and stressed,1
Deadlines are stressing me out badly,1
I feel mentally exhausted and stressed,1
Everything is going well and I feel calm,0
I am feeling happy and relaxed today,0
I am under constant pressure,1
I am under constant pressure,1
Life feels balanced and good,0
I feel energetic and positive,0
I am worried about my exams and future,1
Deadlines are stressing me out badly,1
I enjoyed my day and feel peaceful,0
I am relaxed and enjoying my time,0
I feel mentally exhausted and stressed,1
Today was productive and satisfying,0
I am feeling happy and relaxed today,0
I am feeling happy and relaxed today,0
I feel mentally exhausted and stressed,1
Life feels balanced and good,0
I am feeling very stressed due to my workload,1
I am feeling very stressed due to my workload,1
I am stress free and cheerful,0
Deadlines are stressing me out badly,1
I feel energetic and positive,0
I feel depressed and anxious,1
I am worried about my exams and future,1
I am relaxed and enjoying my time,0
I am feeling happy and relaxed today,0
Today was productive and satisfying,0
Today was productive and satisfying,0
I feel depressed and anxious,1
I feel depressed and anxious,1
Everything is going well and I feel calm,0
I feel mentally strong and focused,0
I feel depressed and anxious,1
I am feeling very stressed due to my workload,1
I am stress free and cheerful,0
I am stress free and cheerful,0
I am feeling happy and relaxed today,0
I can't sleep properly because of stress,1
I feel mentally exhausted and stressed,1
Today was productive and satisfying,0
I am stress free and cheerful,0
I feel depressed and anxious,1
I feel mentally exhausted and stressed,1
Everything is going well and I feel calm,0
My mind feels heavy and tired,1
My mind feels heavy and tired,1
Everything is going well and I feel calm,0
I am stress free and cheerful,0
I am feeling very stressed due to my workload,1
I feel mentally strong and focused,0
I feel depressed and anxious,1
I am feeling happy and relaxed today,0
I feel depressed and anxious,1
Deadlines are stressing me out badly,1
Deadlines are stressing me out badly,1
Everything is going well and I feel calm,0
There is too much pressure and I can't relax,1
I am relaxed and enjoying my time,0
There is too much pressure and I can't relax,1
I am feeling very stressed due to my workload,1
I feel depressed and anxious,1
I am feeling very stressed due to my workload,1
I am stress free and cheerful,0
Today was productive and satisfying,0
I am under constant pressure,1
I feel depressed and anxious,1
I am under constant pressure,1
My mind feels heavy and tired,1
I feel energetic and positive,0
I feel depressed and anxious,1
I feel depressed and anxious,1
I am confident and motivated,0
I feel depressed and anxious,1
Life feels balanced and good,0
I enjoyed my day and feel peaceful,0
I feel mentally exhausted and stressed,1
I feel mentally exhausted and stressed,1
There is too much pressure and I can't relax,1
I am under constant pressure,1
I feel mentally exhausted and stressed,1
I am stress free and cheerful,0
Deadlines are stressing me out badly,1
I am relaxed and enjoying my time,0
Life feels balanced and good,0
Today was productive and satisfying,0
I am worried about my exams and future,1
